Data;24363 - Índice de Atividade Econômica do Banco Central - IBC-Br - Índice
08/2010;98,95645
09/2010;97,49819
10/2010;97,40577
11/2010;97,65189
12/2010;95,56006
01/2011;92,74658
02/2011;95,20606
03/2011;101,32568
04/2011;97,79573
05/2011;100,13533
06/2011;99,09846
07/2011;101,50768
08/2011;103,12440
09/2011;99,48731
10/2011;99,28642
11/2011;99,18257
12/2011;97,33945
01/2012;93,21854
02/2012;94,62490
03/2012;102,31432
04/2012;97,77105
05/2012;101,06350
06/2012;99,46796
07/2012;103,09105
08/2012;104,80294
09/2012;98,99252
10/2012;103,26438
11/2012;100,78053
12/2012;97,53811
01/2013;97,40116
02/2013;95,17534
03/2013;103,47620
04/2013;104,72242
05/2013;102,78919
06/2013;101,28367
07/2013;106,35373
08/2013;106,13135
09/2013;102,95758
10/2013;106,19830
11/2013;103,32211
12/2013;101,91129
01/2014;99,77535
02/2014;100,34283
03/2014;104,18827
04/2014;103,25461
05/2014;102,87004
06/2014;98,49347
07/2014;104,76153
08/2014;103,66027
09/2014;103,55409
10/2014;104,66042
11/2014;101,31610
12/2014;101,70469
01/2015;96,24376
02/2015;95,89662
03/2015;104,37879
04/2015;99,53224
05/2015;97,62422
06/2015;96,87559
07/2015;99,90267
08/2015;98,28651
09/2015;96,49446
10/2015;97,76447
11/2015;95,18659
12/2015;95,36546
01/2016;88,85323
02/2016;91,53233
03/2016;98,00923
04/2016;95,08189
05/2016;93,27338
06/2016;94,58694
07/2016;95,44785
08/2016;96,37444
09/2016;93,74539
10/2016;92,85710
11/2016;92,74189
12/2016;93,57915
01/2017;88,55610
02/2017;90,61713
03/2017;98,95999
04/2017;93,67556
05/2017;94,70514
06/2017;94,46268
07/2017;96,68250
08/2017;97,87990
09/2017;94,39101
10/2017;95,14566
11/2017;94,73784
12/2017;95,16699
01/2018;91,14201
02/2018;91,00423
03/2018;98,66088
04/2018;97,24720
05/2018;92,58661
06/2018;95,68701
07/2018;98,59308
08/2018;100,07270
09/2018;95,07919
10/2018;97,79599
11/2018;96,50606
12/2018;95,59040
01/2019;92,15871
02/2019;93,89772
03/2019;97,08962
04/2019;97,50931
05/2019;97,49387
06/2019;94,62383
07/2019;99,99077
08/2019;99,40220
09/2019;96,74459
10/2019;99,89953
11/2019;97,45295
12/2019;96,50296
01/2020;92,45205
02/2020;94,14680
03/2020;95,44446
04/2020;83,95815
05/2020;84,24757
06/2020;88,87497
07/2020;95,42843
08/2020;95,08457
09/2020;95,84977
10/2020;97,85744
11/2020;96,85416
12/2020;97,53569
01/2021;90,80870
02/2021;94,26730
03/2021;101,08515
04/2021;97,56692
05/2021;96,05172
06/2021;96,55048
07/2021;99,83978
08/2021;99,32829
09/2021;97,24746
10/2021;96,62082
11/2021;98,05768
12/2021;99,33126
01/2022;90,45032
02/2022;95,72214
03/2022;104,61484
04/2022;100,42352
05/2022;99,79777
06/2022;99,53784
07/2022;103,95861
08/2022;104,56278
09/2022;101,38087
10/2022;100,20398
11/2022;99,36927
12/2022;99,97806
01/2023;93,79237
02/2023;98,75065
03/2023;110,62354
04/2023;104,34152
05/2023;102,66392
06/2023;102,53174
07/2023;105,47522
08/2023;106,13139
09/2023;102,00419
10/2023;102,07440
11/2023;101,86494
12/2023;101,74606
01/2024;98,01879
02/2024;102,37988
03/2024;109,58504
04/2024;109,36335
05/2024;104,84682
06/2024;106,03093
07/2024;111,55002
08/2024;110,19363
09/2024;107,28836
10/2024;109,21678
11/2024;105,74688
12/2024;104,27340
01/2025;101,23438
02/2025;107,07838
03/2025;114,05013
04/2025;112,73813
05/2025;108,66481
06/2025;107,55639
07/2025;113,14433
08/2025;110,57963
09/2025;109,59513
10/2025;110,16346
11/2025;106,90236
12/2025;107,17649
01/2026;102,36456
02/2026;106,82125
03/2026;117,80890
04/2026;113,99365
05/2026;109,52993
Fonte;BCB-Depec
