Data;21084 - Inadimplência da carteira de crédito - Pessoas físicas - Total - %
03/2011;4,62
04/2011;4,67
05/2011;4,82
06/2011;4,79
07/2011;4,90
08/2011;4,97
09/2011;5,03
10/2011;5,17
11/2011;5,22
12/2011;5,22
01/2012;5,36
02/2012;5,40
03/2012;5,36
04/2012;5,41
05/2012;5,51
06/2012;5,43
07/2012;5,42
08/2012;5,40
09/2012;5,41
10/2012;5,34
11/2012;5,21
12/2012;5,10
01/2013;5,04
02/2013;5,00
03/2013;4,95
04/2013;4,86
05/2013;4,90
06/2013;4,62
07/2013;4,57
08/2013;4,46
09/2013;4,45
10/2013;4,26
11/2013;4,16
12/2013;4,09
01/2014;4,05
02/2014;4,03
03/2014;4,08
04/2014;4,13
05/2014;4,19
06/2014;4,01
07/2014;4,08
08/2014;4,07
09/2014;3,97
10/2014;4,01
11/2014;3,87
12/2014;3,70
01/2015;3,78
02/2015;3,85
03/2015;3,71
04/2015;3,79
05/2015;3,89
06/2015;3,70
07/2015;3,81
08/2015;3,92
09/2015;3,99
10/2015;4,12
11/2015;4,24
12/2015;4,27
01/2016;4,34
02/2016;4,35
03/2016;4,30
04/2016;4,35
05/2016;4,37
06/2016;4,10
07/2016;4,15
08/2016;4,17
09/2016;4,23
10/2016;4,23
11/2016;4,15
12/2016;4,00
01/2017;4,04
02/2017;4,06
03/2017;4,06
04/2017;4,09
05/2017;4,16
06/2017;3,91
07/2017;4,01
08/2017;3,99
09/2017;3,93
10/2017;3,93
11/2017;3,83
12/2017;3,58
01/2018;3,78
02/2018;3,76
03/2018;3,70
04/2018;3,68
05/2018;3,64
06/2018;3,52
07/2018;3,56
08/2018;3,55
09/2018;3,47
10/2018;3,43
11/2018;3,35
12/2018;3,30
01/2019;3,39
02/2019;3,35
03/2019;3,41
04/2019;3,41
05/2019;3,46
06/2019;3,40
07/2019;3,49
08/2019;3,53
09/2019;3,60
10/2019;3,58
11/2019;3,59
12/2019;3,56
01/2020;3,63
02/2020;3,72
03/2020;4,00
04/2020;4,13
05/2020;4,04
06/2020;3,67
07/2020;3,52
08/2020;3,35
09/2020;3,19
10/2020;3,11
11/2020;3,02
12/2020;2,89
01/2021;2,93
02/2021;2,97
03/2021;2,92
04/2021;2,95
05/2021;3,01
06/2021;2,91
07/2021;2,94
08/2021;2,96
09/2021;3,01
10/2021;2,99
11/2021;3,01
12/2021;3,05
01/2022;3,26
02/2022;3,38
03/2022;3,45
04/2022;3,54
05/2022;3,65
06/2022;3,57
07/2022;3,71
08/2022;3,78
09/2022;3,80
10/2022;3,89
11/2022;3,92
12/2022;3,94
01/2023;4,11
02/2023;4,16
03/2023;4,11
04/2023;4,26
05/2023;4,35
06/2023;4,25
07/2023;4,22
08/2023;4,12
09/2023;4,00
10/2023;3,97
11/2023;3,88
12/2023;3,75
01/2024;3,76
02/2024;3,76
03/2024;3,71
04/2024;3,75
05/2024;3,82
06/2024;3,71
07/2024;3,78
08/2024;3,82
09/2024;3,83
10/2024;3,79
11/2024;3,75
12/2024;3,63
01/2025;3,89
02/2025;3,96
03/2025;4,03
04/2025;4,25
05/2025;4,36
06/2025;4,41
07/2025;4,66
08/2025;4,92
09/2025;4,89
10/2025;4,99
11/2025;5,12
12/2025;5,12
01/2026;5,38
02/2026;5,56
03/2026;5,40
04/2026;5,51
05/2026;5,62
06/2026;5,57
Fonte;BCB-DSTAT
