Data;21084 - Inadimplência da carteira de crédito - Pessoas físicas - Total - %;21112 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total - %;21113 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Cheque especial - %;21114 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total - %;21115 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - %;21116 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado - %;29991 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado com garantias reais - %;29992 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado sem garantias reais - %
03/2011;4,62 ;5,54 ;10,82 ;6,90 ;17,04 ;4,74 ;-;-
04/2011;4,67 ;5,68 ;10,97 ;7,09 ;17,13 ;4,74 ;-;-
05/2011;4,82 ;5,88 ;10,95 ;7,44 ;16,82 ;4,78 ;-;-
06/2011;4,79 ;5,93 ;10,84 ;7,38 ;16,60 ;4,85 ;-;-
07/2011;4,90 ;6,13 ;11,60 ;7,62 ;16,28 ;4,94 ;-;-
08/2011;4,97 ;6,31 ;12,35 ;7,92 ;16,90 ;4,86 ;-;-
09/2011;5,03 ;6,39 ;12,36 ;8,04 ;17,00 ;5,15 ;-;-
10/2011;5,17 ;6,53 ;12,32 ;8,26 ;17,43 ;5,40 ;-;-
11/2011;5,22 ;6,65 ;12,31 ;8,38 ;18,01 ;5,60 ;-;-
12/2011;5,22 ;6,72 ;13,56 ;8,51 ;18,40 ;5,67 ;-;-
01/2012;5,36 ;6,94 ;13,27 ;8,77 ;19,15 ;5,71 ;-;-
02/2012;5,40 ;7,00 ;12,45 ;8,62 ;19,34 ;5,63 ;-;-
03/2012;5,36 ;6,96 ;13,03 ;8,00 ;19,34 ;5,68 ;-;-
04/2012;5,41 ;7,06 ;12,68 ;8,24 ;19,23 ;5,70 ;-;-
05/2012;5,51 ;7,20 ;13,62 ;8,65 ;18,92 ;5,53 ;-;-
06/2012;5,43 ;7,15 ;13,53 ;8,73 ;18,45 ;5,32 ;-;-
07/2012;5,42 ;7,17 ;13,41 ;9,08 ;18,92 ;5,07 ;-;-
08/2012;5,40 ;7,18 ;14,40 ;9,30 ;18,86 ;5,25 ;-;-
09/2012;5,41 ;7,20 ;14,13 ;9,19 ;18,74 ;5,32 ;-;-
10/2012;5,34 ;7,13 ;13,83 ;8,86 ;19,71 ;5,47 ;-;-
11/2012;5,21 ;6,97 ;13,69 ;8,80 ;20,08 ;5,49 ;-;-
12/2012;5,10 ;6,90 ;15,68 ;8,95 ;20,71 ;5,66 ;-;-
01/2013;5,04 ;6,82 ;15,75 ;8,89 ;21,14 ;5,68 ;-;-
02/2013;5,00 ;6,72 ;14,33 ;8,59 ;21,26 ;5,72 ;-;-
03/2013;4,95 ;6,64 ;14,61 ;8,46 ;21,28 ;5,71 ;-;-
04/2013;4,86 ;6,55 ;13,57 ;8,27 ;21,75 ;5,22 ;-;-
05/2013;4,90 ;6,58 ;14,64 ;8,15 ;21,86 ;5,18 ;-;-
06/2013;4,62 ;6,32 ;14,19 ;7,65 ;20,83 ;4,81 ;-;-
07/2013;4,57 ;6,25 ;13,87 ;7,68 ;20,57 ;4,90 ;-;-
08/2013;4,46 ;6,13 ;14,05 ;7,38 ;20,15 ;4,95 ;-;-
09/2013;4,45 ;6,09 ;13,86 ;7,27 ;20,26 ;5,03 ;-;-
10/2013;4,26 ;5,87 ;13,49 ;7,05 ;19,42 ;4,95 ;-;-
11/2013;4,16 ;5,76 ;12,97 ;7,03 ;19,12 ;4,83 ;-;-
12/2013;4,09 ;5,76 ;14,48 ;7,17 ;19,34 ;5,40 ;-;-
01/2014;4,05 ;5,68 ;13,78 ;7,05 ;19,42 ;5,44 ;-;-
02/2014;4,03 ;5,60 ;12,17 ;6,86 ;18,98 ;5,12 ;-;-
03/2014;4,08 ;5,63 ;11,75 ;6,98 ;19,46 ;5,24 ;-;-
04/2014;4,13 ;5,66 ;11,87 ;7,09 ;19,52 ;5,35 ;-;-
05/2014;4,19 ;5,80 ;12,74 ;7,35 ;19,76 ;5,53 ;-;-
06/2014;4,01 ;5,67 ;12,51 ;7,19 ;19,09 ;5,17 ;-;-
07/2014;4,08 ;5,75 ;13,26 ;7,46 ;19,28 ;5,31 ;-;-
08/2014;4,07 ;5,75 ;13,94 ;7,51 ;19,03 ;5,30 ;-;-
09/2014;3,97 ;5,73 ;14,07 ;7,41 ;18,53 ;5,32 ;-;-
10/2014;4,01 ;5,67 ;14,60 ;7,55 ;17,86 ;5,11 ;-;-
11/2014;3,87 ;5,51 ;14,95 ;7,50 ;17,40 ;5,00 ;-;-
12/2014;3,70 ;5,36 ;13,82 ;7,65 ;17,75 ;4,93 ;-;-
01/2015;3,78 ;5,38 ;13,72 ;7,88 ;17,18 ;4,98 ;-;-
02/2015;3,85 ;5,40 ;13,64 ;7,79 ;16,44 ;5,45 ;-;-
03/2015;3,71 ;5,22 ;12,85 ;7,39 ;15,86 ;5,30 ;-;-
04/2015;3,79 ;5,33 ;13,47 ;7,51 ;15,88 ;5,15 ;-;-
05/2015;3,89 ;5,50 ;14,31 ;7,78 ;15,70 ;5,22 ;-;-
06/2015;3,70 ;5,36 ;14,35 ;7,17 ;15,81 ;5,12 ;-;-
07/2015;3,81 ;5,51 ;14,92 ;7,51 ;15,80 ;5,22 ;-;-
08/2015;3,92 ;5,67 ;15,50 ;7,96 ;15,93 ;5,28 ;-;-
09/2015;3,99 ;5,81 ;15,32 ;8,15 ;16,02 ;5,24 ;-;-
10/2015;4,12 ;5,84 ;14,31 ;8,06 ;16,46 ;5,39 ;-;-
11/2015;4,24 ;6,03 ;15,03 ;8,97 ;16,80 ;5,55 ;-;-
12/2015;4,27 ;6,24 ;18,10 ;9,79 ;17,39 ;5,70 ;-;-
01/2016;4,34 ;6,32 ;16,92 ;9,88 ;17,35 ;5,74 ;-;-
02/2016;4,35 ;6,27 ;16,16 ;10,09 ;17,80 ;5,71 ;-;-
03/2016;4,30 ;6,24 ;15,35 ;10,09 ;17,70 ;5,64 ;-;-
04/2016;4,35 ;6,33 ;14,49 ;10,60 ;17,68 ;5,48 ;-;-
05/2016;4,37 ;6,40 ;14,89 ;10,22 ;17,84 ;5,51 ;-;-
06/2016;4,10 ;6,23 ;14,69 ;9,64 ;17,63 ;5,31 ;-;-
07/2016;4,15 ;6,28 ;15,68 ;9,76 ;17,38 ;5,31 ;-;-
08/2016;4,17 ;6,29 ;16,11 ;9,83 ;17,69 ;5,13 ;-;-
09/2016;4,23 ;6,31 ;15,71 ;9,97 ;17,83 ;5,10 ;-;-
10/2016;4,23 ;6,24 ;15,69 ;9,29 ;17,79 ;5,10 ;-;-
11/2016;4,15 ;6,16 ;15,32 ;9,14 ;17,96 ;5,05 ;-;-
12/2016;4,00 ;6,13 ;17,43 ;9,22 ;17,78 ;5,02 ;-;-
01/2017;4,04 ;6,09 ;16,16 ;9,03 ;18,02 ;5,02 ;-;-
02/2017;4,06 ;6,00 ;15,96 ;8,73 ;17,40 ;4,88 ;-;-
03/2017;4,06 ;5,97 ;15,45 ;8,75 ;18,22 ;4,95 ;-;-
04/2017;4,09 ;5,94 ;15,02 ;8,58 ;18,16 ;4,76 ;-;-
05/2017;4,16 ;6,02 ;15,48 ;8,59 ;18,80 ;4,80 ;-;-
