"Código","Unidade Territorial","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"11","RONDÔNIA","01/2004","19833","","1483660","","74,81",""
"12","ACRE","01/2004","17375","","1279735","","73,65",""
"13","AMAZONAS","01/2004","56601","","4381165","","77,40",""
"14","RORAIMA","01/2004","4617","","358960","","77,75",""
"15","PARÁ","01/2004","139248","","11076520","","79,55",""
"16","AMAPÁ","01/2004","7528","","606115","","80,51",""
"17","TOCANTINS","01/2004","33929","","2552025","","75,22",""
"21","MARANHÃO","01/2004","268776","","20838770","","77,53",""
"22","PIAUÍ","01/2004","159312","","12116055","","76,05",""
"23","CEARÁ","01/2004","393510","","29223265","","74,26",""
"24","RIO GRANDE DO NORTE","01/2004","130484","","9296690","","71,25",""
"25","PARAÍBA","01/2004","180609","","13414685","","74,27",""
"26","PERNAMBUCO","01/2004","287259","","20998575","","73,10",""
"27","ALAGOAS","01/2004","127612","","9761110","","76,49",""
"28","SERGIPE","01/2004","64009","","4855305","","75,85",""
"29","BAHIA","01/2004","519268","","38586110","","74,31",""
"31","MINAS GERAIS","01/2004","387859","","27111450","","69,90",""
"32","ESPÍRITO SANTO","01/2004","39615","","2809010","","70,91",""
"33","RIO DE JANEIRO","01/2004","49937","","3515475","","70,40",""
"35","SÃO PAULO","01/2004","255351","","17231850","","67,48",""
"41","PARANÁ","01/2004","136262","","8968695","","65,82",""
"42","SANTA CATARINA","01/2004","57389","","3915545","","68,23",""
"43","RIO GRANDE DO SUL","01/2004","158571","","10575885","","66,69",""
"50","MATO GROSSO DO SUL","01/2004","27824","","1919925","","69,00",""
"51","MATO GROSSO","01/2004","30514","","2170655","","71,14",""
"52","GOIÁS","01/2004","60509","","4073565","","67,32",""
"53","DISTRITO FEDERAL","01/2004","2060","","144515","","70,15",""
"11","RONDÔNIA","02/2004","19833","","1483660","","74,81",""
"12","ACRE","02/2004","17375","","1279735","","73,65",""
"13","AMAZONAS","02/2004","56601","","4381165","","77,40",""
"14","RORAIMA","02/2004","4617","","358960","","77,75",""
"15","PARÁ","02/2004","139248","","11076520","","79,55",""
"16","AMAPÁ","02/2004","7528","","606115","","80,51",""
"17","TOCANTINS","02/2004","33929","","2552025","","75,22",""
"21","MARANHÃO","02/2004","268776","","20838770","","77,53",""
"22","PIAUÍ","02/2004","159312","","12116055","","76,05",""
"23","CEARÁ","02/2004","393510","","29223265","","74,26",""
"24","RIO GRANDE DO NORTE","02/2004","130484","","9289940","","71,20",""
"25","PARAÍBA","02/2004","180609","","13414685","","74,27",""
"26","PERNAMBUCO","02/2004","287259","","20998575","","73,10",""
"27","ALAGOAS","02/2004","127612","","9761110","","76,49",""
"28","SERGIPE","02/2004","64009","","4855305","","75,85",""
"29","BAHIA","02/2004","519268","","38586110","","74,31",""
"31","MINAS GERAIS","02/2004","387859","","27111450","","69,90",""
"32","ESPÍRITO SANTO","02/2004","39615","","2809010","","70,91",""
