Data,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Populacao_Adulta_pct,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R
2010-08-01,10.75,,,,,,,,,,,,,
2010-09-01,10.75,,,,,,,,,,,,,
2010-10-01,10.75,,,,,,,,,,,,,
2010-11-01,10.75,,,,,,,,,,,,,
2010-12-01,10.75,,,,,,,,,,,,,
2011-01-01,10.943548387096774,,,,,,,,,,,,,
2011-02-01,11.25,,,,,,,,,,,,,
2011-03-01,11.71774193548387,47.59,4.619999999999999,5.54,10.82,6.9,17.04,4.74,,,,,,
2011-04-01,11.8,48.730000000000004,4.67,5.68,10.97,7.09,17.130000000000003,4.74,,,,,,
2011-05-01,12,48.46,4.819999999999999,5.88,10.950000000000001,7.44,16.82,4.78,,,,,,
2011-06-01,12.183333333333334,48.290000000000006,4.79,5.930000000000001,10.84,7.38,16.6,4.85,,,,,,
2011-07-01,12.338709677419354,48.620000000000005,4.9,6.13,11.6,7.619999999999999,16.279999999999998,4.94,,,,,,
2011-08-01,12.5,47.92,4.970000000000001,6.31,12.350000000000001,7.92,16.9,4.859999999999999,,,,,,
2011-09-01,12,48.42,5.03,6.39,12.360000000000001,8.04,17,5.1499999999999995,,,,,,
2011-10-01,11.806451612903226,49.57,5.17,6.53,12.32,8.26,17.43,5.4,,,,,,
2011-11-01,11.5,48.220000000000006,5.22,6.6499999999999995,12.31,8.38,18.01,5.6,,,,,,
2011-12-01,11,45.839999999999996,5.22,6.72,13.56,8.51,18.4,5.67,,,,,,
2012-01-01,10.790322580645162,47.59,5.359999999999999,6.94,13.27,8.77,19.150000000000002,5.71,,,,,,
2012-02-01,10.5,48.39,5.4,7,12.450000000000001,8.62,19.34,5.63,,,,,,
2012-03-01,9.919354838709678,48.190000000000005,5.359999999999999,6.96,13.03,8,19.34,5.68,,,,,8,3166
2012-04-01,9.45,47.379999999999995,5.41,7.06,12.68,8.239999999999998,19.23,5.7,,,,,7.8,3177
2012-05-01,8.983870967741936,44.65,5.51,7.2,13.62,8.65,18.919999999999998,5.53,,,,,7.7,3169
2012-06-01,8.5,43.87,5.430000000000001,7.1499999999999995,13.53,8.729999999999999,18.45,5.319999999999999,,,,,7.6,3176
2012-07-01,8.17741935483871,42.71,5.42,7.17,13.41,9.08,18.919999999999998,5.07,,,,,7.5,3192
2012-08-01,7.967741935483871,41.77,5.4,7.18,14.4,9.3,18.86,5.25,,,,,7.3,3202
2012-09-01,7.5,41.82,5.41,7.2,14.129999999999999,9.19,18.74,5.319999999999999,,,,,7.1,3196
2012-10-01,7.330645161290323,40.94,5.34,7.13,13.83,8.860000000000001,19.71,5.470000000000001,,,,,6.9,3192
2012-11-01,7.25,40.42,5.21,6.970000000000001,13.69,8.8,20.08,5.49,,,,,6.8,3189
2012-12-01,7.25,38.9,5.1,6.9,15.68,8.950000000000001,20.71,5.659999999999999,,,,,6.9,3181
2013-01-01,7.25,39.2,5.04,6.819999999999999,15.75,8.89,21.14,5.68,,,,,7.2,3195
2013-02-01,7.25,40.37,5,6.72,14.33,8.59,21.259999999999998,5.72,,,,,7.8,3213
2013-03-01,7.25,39.790000000000006,4.95,6.64,14.61,8.46,21.279999999999998,5.71,,,,,8,3232
2013-04-01,7.358333333333333,39.59,4.859999999999999,6.55,13.57,8.27,21.75,5.22,,,,,7.9,3239
2013-05-01,7.532258064516129,39.309999999999995,4.9,6.58,14.639999999999999,8.15,21.86,5.18,,,,,7.6,3241
2013-06-01,8,39.99,4.619999999999999,6.319999999999999,14.19,7.6499999999999995,20.830000000000002,4.81,,,,,7.5,3268
2013-07-01,8.338709677419354,40.9,4.57,6.25,13.870000000000001,7.68,20.57,4.9,,,,,7.4,3289
2013-08-01,8.548387096774194,41.36,4.46,6.13,14.05,7.38,20.150000000000002,4.95,,,,,7.2,3311
2013-09-01,9,41.8,4.45,6.09,13.860000000000001,7.2700000000000005,20.259999999999998,5.03,,,,,7,3311
2013-10-01,9.35483870967742,42.790000000000006,4.26,5.87,13.49,7.05,19.419999999999998,4.95,,,,,6.8,3321
2013-11-01,9.55,43.14,4.159999999999999,5.76,12.97,7.03,19.12,4.83,,,,,6.5,3307
2013-12-01,10,42.51,4.09,5.76,14.48,7.17,19.34,5.4,,,,,6.2,3281
2014-01-01,10.258064516129032,44.160000000000004,4.05,5.68,13.78,7.05,19.419999999999998,5.44,,,,,6.5,3278
2014-02-01,10.517857142857142,46.48,4.03,5.6,12.17,6.859999999999999,18.979999999999997,5.119999999999999,,,,,6.8,3309
2014-03-01,10.75,46.75,4.08,5.63,11.75,6.98,19.459999999999997,5.24,,,,,7.2,3347
2014-04-01,10.983333333333333,46.67,4.13,5.659999999999999,11.870000000000001,7.09,19.52,5.35,,,,,7.2,3345
2014-05-01,11,47.13,4.1899999999999995,5.8,12.739999999999998,7.35,19.759999999999998,5.53,,,,,7,3338
2014-06-01,11,47.92,4.01,5.67,12.51,7.1899999999999995,19.09,5.17,,,,,6.9,3320
2014-07-01,11,48.02,4.08,5.75,13.26,7.46,19.279999999999998,5.31,,,,,7,3314
2014-08-01,11,48.4,4.07,5.75,13.94,7.51,19.03,5.3,,,,,7,3337
