Data_Trimestre,Selic_Meta,Taxa_Media_Juros_Credito,Inadimplencia_PF_Total,Inadimplencia_PF_Total_modalidades,Inadimplencia_Recursos_Livres_Total,Inadimplencia_Cheque_Especial,Inadimplencia_Credito_Pessoal_Nao_Consignado,Inadimplencia_Composicao_Dividas,Inadimplencia_Consignado_Privado,Inadimplencia_Nao_Consignado_Com_Garantia,Inadimplencia_Nao_Consignado_Sem_Garantia,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes,PNAD_Taxa_Desocupacao_pct,PNAD_Rendimento_Medio_R,Itau_NPL90_Total_pct,Itau_NPL90_Brasil_pct,Itau_NPL90_PF_Brasil_pct,Itau_NPL90_MPME_Brasil_pct,Itau_NPL90_Grandes_Empresas_Brasil_pct,Itau_Carteira_PF_Total_R_milhoes,Itau_Carteira_Cartao_Credito_R_milhoes,Itau_Carteira_Credito_Pessoal_R_milhoes,Itau_Carteira_Credito_Consignado_R_milhoes,Itau_Carteira_Veiculos_R_milhoes,Itau_Carteira_Credito_Imobiliario_R_milhoes,Itau_Carteira_MPME_R_milhoes,Itau_Cobertura_Estagio3_PF_Brasil_pct,Itau_Cobertura_Estagio3_PJ_Brasil_pct,Itau_Cobertura_Estagio3_Brasil_pct,Itau_Cobertura_Estagio3_America_Latina_pct,Itau_Cobertura_Estagio3_Total_pct,Itau_NPL_Creation_Total_R_milhoes,Itau_NPL_Creation_Varejo_Brasil_R_milhoes,Itau_NPL_Creation_Atacado_Brasil_R_milhoes,Itau_NPL_Creation_America_Latina_R_milhoes
2010-07-01,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,11.303763440860214,47.59,4.619999999999999,4.619999999999999,5.54,10.82,6.9,17.04,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,11.994444444444445,48.49333333333334,4.76,4.76,5.83,10.92,7.303333333333334,16.85,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,12.279569892473118,48.32,4.966666666666667,4.966666666666667,6.276666666666666,12.103333333333333,7.859999999999999,16.726666666666667,4.983333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-01,11.435483870967742,47.876666666666665,5.203333333333333,5.203333333333333,6.633333333333333,12.73,8.383333333333333,17.946666666666665,5.556666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-01,10.403225806451614,48.05666666666667,5.373333333333333,5.373333333333333,6.966666666666667,12.916666666666666,8.463333333333333,19.276666666666667,5.673333333333333,,,,,,,,,,,,,,,,8,3166,,,,,,,,,,,,,,,,,,,,,
2012-04-01,8.977956989247312,45.3,5.45,5.45,7.136666666666667,13.276666666666666,8.54,18.866666666666667,5.516666666666667,,,,,,,,,,,,,,,,7.6,3176,,,,,,,,,,,,,,,,,,,,,
2012-07-01,7.881720430107527,42.1,5.41,5.41,7.183333333333334,13.98,9.19,18.84,5.213333333333333,,,,,,,,,,,,,,,,7.1,3196,,,,,,,,,,,,,,,,,,,,,
2012-10-01,7.276881720430108,40.086666666666666,5.216666666666667,5.216666666666667,7,14.4,8.870000000000001,20.166666666666668,5.54,,,,,,,,,,,,,,,,6.9,3181,,,,,,,,,,,,,,,,,,,,,
