Serie,Frequencia,Amostra,N,Inicio,Fim,Media,Mediana,Variancia,Desvio_Padrao
GGR_Nacional_R_bilhoes,Anual,2021-2030; inclui projecoes 2026-2030,10,2021-01-01,2030-01-01,11.43,16.95,100.62455555555555,10.031179170743366
GGR_Offshore_R_bilhoes,Anual,2021-2030; inclui projecoes 2026-2030,10,2021-01-01,2030-01-01,6.96,4.9,19.255999999999997,4.388165903882851
GGR_Total_R_bilhoes,Anual,2021-2030; inclui projecoes 2026-2030,10,2021-01-01,2030-01-01,18.39,21.25,62.47877777777778,7.904351825278135
PIB_Crescimento_Real_pct,Anual,Historica disponivel no arquivo,0,,,,,,
PIB_Per_Capita_R,Anual,Historica disponivel no arquivo,0,,,,,,
PIB_Valores_Correntes_R_milhoes,Anual,Historica disponivel no arquivo,70,1947-01-01,2016-01-01,31107424.517884143,799949.803906199,44581474013998080,211143254.7205761
Inadimplencia_Cheque_Especial,Mensal,Observada,184,2011-03-01,2026-06-01,13.717228260869565,13.66,3.2661294339510576,1.807243601164784
Inadimplencia_Composicao_Dividas,Mensal,Observada,184,2011-03-01,2026-06-01,16.835760869565217,17.4,7.289414718460441,2.6998916123541776
Inadimplencia_Consignado_Privado,Mensal,Observada,184,2011-03-01,2026-06-01,5.118152173913043,5.02,0.9144839985744833,0.9562865671829147
Inadimplencia_Credito_Pessoal_Nao_Consignado,Mensal,Observada,184,2011-03-01,2026-06-01,7.752880434782608,7.785,1.478931002019482,1.2161130712312411
Inadimplencia_Nao_Consignado_Com_Garantia,Mensal,Observada,8,2025-11-01,2026-06-01,2.36375,2.2800000000000002,0.04939821428571424,0.22225709051842246
Inadimplencia_Nao_Consignado_Sem_Garantia,Mensal,Observada,8,2025-11-01,2026-06-01,13.235,13.285,0.7064857142857143,0.8405270455409001
Inadimplencia_PF_Total,Mensal,Observada,184,2011-03-01,2026-06-01,4.081304347826086,3.995,0.45868353528153955,0.6772617922794254
Inadimplencia_PF_Total_modalidades,Mensal,Observada,184,2011-03-01,2026-06-01,4.081304347826086,3.995,0.45868353528153955,0.6772617922794254
Inadimplencia_Recursos_Livres_Total,Mensal,Observada,184,2011-03-01,2026-06-01,5.772663043478261,5.735,0.6456469678070801,0.803521603821005
Selic_Meta,Mensal,Observada,193,2010-08-01,2026-08-01,10.128426158598788,10.943548387096774,13.45132006477554,3.6676041314154313
Serasa_26_40_milhoes,Mensal,Observada,91,2019-01-01,2026-07-01,24.587970175824175,24.464351,3.042700780164969,1.744333907302432
Serasa_41_60_milhoes,Mensal,Observada,91,2019-01-01,2026-07-01,24.014710054945056,23.621664,5.8165669452121636,2.411755987908429
