"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Populacao_Adulta_pct"
"Selic_Meta",1,0.719398100571458,0.468861072081164,0.61200040249624,0.11808670613851,0.468091056075783,0.543902059529889,0.502405180358265,0.374280177209634,-0.866289735914538,0.552592258436374,0.721299213557435
"Taxa_Media_Juros_Credito",0.719398100571458,1,0.169112886235397,0.354884777323484,0.424271823047223,0.601863075045489,0.30406262729987,0.255075583228808,-0.166006390966183,0.935813663380102,0.104829386998111,0.39465427737763
"Inadimplencia_PF_Total",0.468861072081164,0.169112886235397,1,0.949098785843805,0.300226019895833,0.7057880765855,0.704916851210609,0.435661986565278,-0.000326430276934333,0.947152140957027,0.650300817316148,0.810778674230643
"Inadimplencia_Recursos_Livres_Total",0.61200040249624,0.354884777323484,0.949098785843805,1,0.396557976974755,0.77663128116968,0.740864860256006,0.500260193998889,0.00616586774561347,0.982785751525111,0.621577050340203,0.803683329239565
"Inadimplencia_Cheque_Especial",0.11808670613851,0.424271823047223,0.300226019895833,0.396557976974755,1,0.734722251893146,0.195413261483935,0.0503112425018746,0.287489593228544,-0.448425250607427,-0.012729763394577,0.147164887108785
"Inadimplencia_Credito_Pessoal_Nao_Consignado",0.468091056075783,0.601863075045489,0.7057880765855,0.77663128116968,0.734722251893146,1,0.520806558027414,0.217107456277104,-0.0236796248855475,0.989289437013274,0.152054234239184,0.437187329884688
"Inadimplencia_Composicao_Dividas",0.543902059529889,0.30406262729987,0.704916851210609,0.740864860256006,0.195413261483935,0.520806558027414,1,0.482181861371267,0.435896400427033,-0.6743881839718,0.430412219457038,0.573157597578398
"Inadimplencia_Consignado_Privado",0.502405180358265,0.255075583228808,0.435661986565278,0.500260193998889,0.0503112425018746,0.217107456277104,0.482181861371267,1,-0.213626676414215,0.970897742488707,0.656845427340192,0.708447300047993
"Inadimplencia_Nao_Consignado_Com_Garantia",0.374280177209634,-0.166006390966183,-0.000326430276934333,0.00616586774561347,0.287489593228544,-0.0236796248855475,0.435896400427033,-0.213626676414215,1,-0.150073602651205,-0.388628680751418,-0.400278072512892
"Inadimplencia_Nao_Consignado_Sem_Garantia",-0.866289735914538,0.935813663380102,0.947152140957027,0.982785751525111,-0.448425250607427,0.989289437013274,-0.6743881839718,0.970897742488707,-0.150073602651205,1,0.913708291957715,0.90270682652629
"Serasa_Inadimplentes_milhoes",0.552592258436374,0.104829386998111,0.650300817316148,0.621577050340203,-0.012729763394577,0.152054234239184,0.430412219457038,0.656845427340192,-0.388628680751418,0.913708291957715,1,0.992347648951414
"Serasa_Populacao_Adulta_pct",0.721299213557435,0.39465427737763,0.810778674230643,0.803683329239565,0.147164887108785,0.437187329884688,0.573157597578398,0.708447300047993,-0.400278072512892,0.90270682652629,0.992347648951414,1
