"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct","Itau_Carteira_PF_Total_R_milhoes","Itau_Carteira_Cartao_Credito_R_milhoes","Itau_Carteira_Credito_Pessoal_R_milhoes","Itau_Carteira_Credito_Consignado_R_milhoes","Itau_Carteira_Veiculos_R_milhoes","Itau_Carteira_Credito_Imobiliario_R_milhoes","Itau_Carteira_MPME_R_milhoes","Itau_Cobertura_Estagio3_PF_Brasil_pct","Itau_Cobertura_Estagio3_PJ_Brasil_pct","Itau_Cobertura_Estagio3_Brasil_pct","Itau_Cobertura_Estagio3_America_Latina_pct","Itau_Cobertura_Estagio3_Total_pct","Itau_NPL_Creation_Total_R_milhoes","Itau_NPL_Creation_Varejo_Brasil_R_milhoes","Itau_NPL_Creation_Atacado_Brasil_R_milhoes","Itau_NPL_Creation_America_Latina_R_milhoes","PIB_Valores_Correntes_R_milhoes","GGR_Offshore_R_bilhoes","GGR_Nacional_R_bilhoes","GGR_Total_R_bilhoes"
"Selic_Meta",1,0.723548208969917,0.51927162813639,0.51927162813639,0.657711310678789,0.162056614830656,0.53095559829631,0.597196283665042,0.630985273785894,NA,NA,0.564979355559047,0.666448744463203,0.595222322932578,0.701074843863949,0.606439185763174,0.515775467839275,0.615917178595455,0.84963548580566,0.836967370067277,0.895440679253504,0.825589779365378,0.815586600004131,0.839319000900625,-0.659925661863206,0.274187923003631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.474882812361819,0.124072811424943,0.467418128144,0.626829447934858
"Taxa_Media_Juros_Credito",0.723548208969917,1,0.200995370329825,0.200995370329825,0.390284406453288,0.525579120342929,0.663121290287876,0.323044190362197,0.36762279518641,NA,NA,0.152509037456394,0.398094572718951,0.253718829751498,0.816139988605258,0.271669376829466,0.0817366193614686,0.252912755399351,0.877350161941255,0.896928428177116,0.980928294819834,0.919259582853716,0.85527111633546,0.830680059890768,-0.0970319958383473,0.243036363372283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691260593932178,0.190442059751734,0.524391248564596,0.746361599602809
"Inadimplencia_PF_Total",0.51927162813639,0.200995370329825,1,1,0.952028886428904,0.320626204001286,0.720660353762135,0.716980973762552,0.621949103896479,NA,NA,0.726883149846597,0.876248202014119,0.796904401633927,0.901296096444973,0.79384456802759,0.656684743741811,0.796932144767235,0.934806996857405,0.952936983761054,0.887064664508501,0.96948057297231,0.941391844269454,0.891630254083044,-0.692081940833072,0.339716906029206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.827906827551121,0.00190162319879519,0.711966078288383,0.797329882223409
"Inadimplencia_PF_Total_modalidades",0.51927162813639,0.200995370329825,1,1,0.952028886428904,0.320626204001286,0.720660353762135,0.716980973762552,0.621949103896479,NA,NA,0.726883149846597,0.876248202014119,0.796904401633927,0.901296096444973,0.79384456802759,0.656684743741811,0.796932144767235,0.934806996857405,0.952936983761054,0.887064664508501,0.96948057297231,0.941391844269454,0.891630254083044,-0.692081940833072,0.339716906029206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.827906827551121,0.00190162319879519,0.711966078288383,0.797329882223409
"Inadimplencia_Recursos_Livres_Total",0.657711310678789,0.390284406453288,0.952028886428904,0.952028886428904,1,0.420895771332825,0.792222968344434,0.771068658940184,0.689299384132223,NA,NA,0.68474703419338,0.834661527082364,0.745718971517301,0.89199572297564,0.749064336503886,0.613893504938401,0.755974554436394,0.946950516212185,0.957722628418727,0.94374218564478,0.968247134918888,0.940993986162051,0.90755357355348,-0.714930692309485,0.355566527795187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.453374259074245,0.131659361638036,0.579199735482974,0.75814706553877
"Inadimplencia_Cheque_Especial",0.162056614830656,0.525579120342929,0.320626204001286,0.320626204001286,0.420895771332825,1,0.802466239451358,0.223196295957059,0.192591757629581,NA,NA,0.0506042659980749,0.275167344311643,0.145412208408595,0.649730818011158,0.142071356033204,-0.0403599041337165,0.150917158133991,0.384838908784388,0.454525203171148,0.506361546556865,0.527635486864167,0.412719722909365,0.288862642370877,0.0176901304998927,0.348050884755321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84828939110222,-0.0457479497359263,0.755015817826798,0.805342768255291
"Inadimplencia_Credito_Pessoal_Nao_Consignado",0.53095559829631,0.663121290287876,0.720660353762135,0.720660353762135,0.792222968344434,0.802466239451358,1,0.527408265292953,0.421519885087122,NA,NA,0.245807848137639,0.488279571006435,0.346259815027809,0.839593077791127,0.343898721388174,0.144365649743286,0.353409782714319,0.730993134537726,0.779041374497042,0.812399859295787,0.834322027979368,0.742239512122767,0.648345044183157,-0.271991503095272,0.268266831105232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365657526548801,-0.0818558036883114,0.64020870946644,0.646640280900244
"Inadimplencia_Composicao_Dividas",0.597196283665042,0.323044190362197,0.716980973762552,0.716980973762552,0.771068658940184,0.223196295957059,0.527408265292953,1,0.600361106841227,NA,NA,0.482500521256532,0.665581620549432,0.56595513900603,0.86987656317044,0.593472003556618,0.448768109631737,0.554208459051875,0.877641723443122,0.883640780556544,0.903848433922958,0.881549097964118,0.854648870484213,0.862160205953146,-0.729346532398586,0.133361788011129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189275810279846,0.267101968807756,0.641495639857354,0.941760095739454
"Inadimplencia_Consignado_Privado",0.630985273785894,0.36762279518641,0.621949103896479,0.621949103896479,0.689299384132223,0.192591757629581,0.421519885087122,0.600361106841227,1,NA,NA,0.795488671498697,0.867195793213488,0.852247926317437,0.744444022515507,0.867695160764175,0.801116910518383,0.822197081836639,0.899752815444734,0.895278974436709,0.748888407369589,0.864683640410479,0.901616590055302,0.913313232035201,-0.781309056123575,0.65076683236491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.360335511281957,0.436525531271302,0.491819772472073,0.917060934776007
"Inadimplencia_Nao_Consignado_Com_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
