"","Selic_Meta","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct"
"Selic_Meta",1,0.761224753420476,0.855114889860265,0.0732899218325854,0.532663734146057,0.802554541754433,0.59483363337239,NA,NA,0.126955769097496,0.00905433165706911,0.123864642191534,-0.0288407153702285,-0.490374327242542
"Inadimplencia_PF_Total_modalidades",0.761224753420476,1,0.971648625024662,0.525948332929129,0.86419555237183,0.714791377269722,0.566220040123796,NA,NA,0.0648939718520252,0.00799738307893861,0.271620862522783,-0.0765261971038446,-0.286220177697884
"Inadimplencia_Recursos_Livres_Total",0.855114889860265,0.971648625024662,1,0.464963198707389,0.822002152951782,0.745295441281803,0.592770090191661,NA,NA,0.124337565720476,0.0589373316320436,0.342804218433582,-0.101924172467139,-0.414988746791185
"Inadimplencia_Cheque_Especial",0.0732899218325854,0.525948332929129,0.464963198707389,1,0.738018032056003,0.148748578751181,0.0920507998340215,NA,NA,0.18622741908834,0.254901049748454,0.50350286311873,-0.096706061633442,0.270109666736422
"Inadimplencia_Credito_Pessoal_Nao_Consignado",0.532663734146057,0.86419555237183,0.822002152951782,0.738018032056003,1,0.568131504012246,0.275149371456667,NA,NA,0.40039830498452,0.415320897591437,0.622025102680096,0.142087968591594,0.150830268133892
"Inadimplencia_Composicao_Dividas",0.802554541754433,0.714791377269722,0.745295441281803,0.148748578751181,0.568131504012246,1,0.560775278629263,NA,NA,0.236557648430075,0.147443130181162,0.0835875305208948,0.336355030508633,-0.15748802825864
"Inadimplencia_Consignado_Privado",0.59483363337239,0.566220040123796,0.592770090191661,0.0920507998340215,0.275149371456667,0.560775278629263,1,NA,NA,-0.41920402281046,-0.500120153969713,-0.38377667147256,-0.216616304533212,-0.475292633862743
"Inadimplencia_Nao_Consignado_Com_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inadimplencia_Nao_Consignado_Sem_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Itau_NPL90_Total_pct",0.126955769097496,0.0648939718520252,0.124337565720476,0.18622741908834,0.40039830498452,0.236557648430075,-0.41920402281046,NA,NA,1,0.974176675591044,0.768512933077568,0.600645281586183,0.387348190957152
"Itau_NPL90_Brasil_pct",0.00905433165706911,0.00799738307893861,0.0589373316320436,0.254901049748454,0.415320897591437,0.147443130181162,-0.500120153969713,NA,NA,0.974176675591044,1,0.787050010762775,0.619296882225375,0.502328746969556
"Itau_NPL90_PF_Brasil_pct",0.123864642191534,0.271620862522783,0.342804218433582,0.50350286311873,0.622025102680096,0.0835875305208948,-0.38377667147256,NA,NA,0.768512933077568,0.787050010762775,1,0.167414570377292,0.124465786565785
"Itau_NPL90_MPME_Brasil_pct",-0.0288407153702285,-0.0765261971038446,-0.101924172467139,-0.096706061633442,0.142087968591594,0.336355030508633,-0.216616304533212,NA,NA,0.600645281586183,0.619296882225375,0.167414570377292,1,0.490774803196773
"Itau_NPL90_Grandes_Empresas_Brasil_pct",-0.490374327242542,-0.286220177697884,-0.414988746791185,0.270109666736422,0.150830268133892,-0.15748802825864,-0.475292633862743,NA,NA,0.387348190957152,0.502328746969556,0.124465786565785,0.490774803196773,1
