"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R"
"Selic_Meta",1,0.719398100571458,0.468861072081164,0.468861072081164,0.61200040249624,0.11808670613851,0.468091056075783,0.543902059529889,0.502405180358265,NA,NA,0.552592258436374,0.653375293557156,0.580980295043332,0.654923849992906,0.591597018334519,0.500599812365866,0.721299213557435,0.835709551745151,0.824224161066159,0.866646152151774,0.815114620511087,0.795836528712724,0.813548747922112,-0.625872639245953,0.12483944863234
"Taxa_Media_Juros_Credito",0.719398100571458,1,0.169112886235397,0.169112886235397,0.354884777323484,0.424271823047223,0.601863075045489,0.30406262729987,0.255075583228808,NA,NA,0.104829386998111,0.364511749807947,0.207987188963528,0.788037481556043,0.230777792676436,0.0348511366824437,0.39465427737763,0.83779603569181,0.865842841495376,0.966081474101884,0.901160847552752,0.807134709026191,0.764704473000526,-0.0678514989666228,0.116141960983618
"Inadimplencia_PF_Total",0.468861072081164,0.169112886235397,1,1,0.949098785843805,0.300226019895833,0.7057880765855,0.704916851210609,0.435661986565278,NA,NA,0.650300817316148,0.813133360620256,0.713359407990598,0.828216906448248,0.705580962512945,0.556684996197601,0.810778674230643,0.892618677508022,0.918342533924448,0.860786078835188,0.945910827327107,0.896613682374578,0.823038933981335,-0.644422478081747,0.183970572097404
"Inadimplencia_PF_Total_modalidades",0.468861072081164,0.169112886235397,1,1,0.949098785843805,0.300226019895833,0.7057880765855,0.704916851210609,0.435661986565278,NA,NA,0.650300817316148,0.813133360620256,0.713359407990598,0.828216906448248,0.705580962512945,0.556684996197601,0.810778674230643,0.892618677508022,0.918342533924448,0.860786078835188,0.945910827327107,0.896613682374578,0.823038933981335,-0.644422478081747,0.183970572097404
"Inadimplencia_Recursos_Livres_Total",0.61200040249624,0.354884777323484,0.949098785843805,0.949098785843805,1,0.396557976974755,0.77663128116968,0.740864860256006,0.500260193998889,NA,NA,0.621577050340203,0.783980625814738,0.676923005696614,0.827182764762858,0.677588575892251,0.531947743742371,0.803683329239565,0.912248011801831,0.928695152782773,0.916291692985171,0.947355731401608,0.902926629906102,0.848434172533637,-0.667752113256259,0.200933795481337
"Inadimplencia_Cheque_Especial",0.11808670613851,0.424271823047223,0.300226019895833,0.300226019895833,0.396557976974755,1,0.734722251893146,0.195413261483935,0.0503112425018746,NA,NA,-0.012729763394577,0.198934140827121,0.0665007855096727,0.550106001255028,0.0644358330307729,-0.104095340594179,0.147164887108785,0.272868298602363,0.351811516710522,0.419875488260706,0.428680144303124,0.301282473273575,0.167295591300638,-0.0165640464234985,0.218040971018678
"Inadimplencia_Credito_Pessoal_Nao_Consignado",0.468091056075783,0.601863075045489,0.7057880765855,0.7057880765855,0.77663128116968,0.734722251893146,1,0.520806558027414,0.217107456277104,NA,NA,0.152054234239184,0.396521252214857,0.231432685700215,0.75085978909876,0.225946208276362,0.0262910559688175,0.437187329884688,0.614952103420743,0.678217556467717,0.780621887279236,0.757265657998797,0.619520973337353,0.494196151753539,-0.237401919731137,0.103455543826604
"Inadimplencia_Composicao_Dividas",0.543902059529889,0.30406262729987,0.704916851210609,0.704916851210609,0.740864860256006,0.195413261483935,0.520806558027414,1,0.482181861371267,NA,NA,0.430412219457038,0.620715581315486,0.51041266146529,0.802247824841067,0.535883183318689,0.385378167637678,0.573157597578398,0.815208433289263,0.830681089535134,0.869329537348833,0.843448178692478,0.78749870777416,0.77090451818245,-0.685191137763444,0.027905409424661
"Inadimplencia_Consignado_Privado",0.502405180358265,0.255075583228808,0.435661986565278,0.435661986565278,0.500260193998889,0.0503112425018746,0.217107456277104,0.482181861371267,1,NA,NA,0.656845427340192,0.721831103673587,0.728554446930467,0.583231663611536,0.754466414733791,0.700160467541813,0.708447300047993,0.744500690512986,0.733774056301637,0.563572542272439,0.687114833907687,0.743999636967625,0.76952154650345,-0.658136115378879,0.459296922732588
"Inadimplencia_Nao_Consignado_Com_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inadimplencia_Nao_Consignado_Sem_Garantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serasa_Inadimplentes_milhoes",0.552592258436374,0.104829386998111,0.650300817316148,0.650300817316148,0.621577050340203,-0.012729763394577,0.152054234239184,0.430412219457038,0.656845427340192,NA,NA,1,0.94597719197174,0.981767843945109,0.478693898562898,0.972313565322013,0.982416613350403,0.992347648951414,0.998637058760759,0.99824206834237,0.857349915543255,0.982000821827389,0.996285980660741,0.979656260182303,-0.909512584623877,0.745393414314719
"Serasa_Dividas_Negativadas_milhoes",0.653375293557156,0.364511749807947,0.813133360620256,0.813133360620256,0.783980625814738,0.198934140827121,0.396521252214857,0.620715581315486,0.721831103673587,NA,NA,0.94597719197174,1,0.979970906193546,0.736016179076683,0.97924343560794,0.910670060763246,0.978917695517864,0.980700237515677,0.992714987870113,0.857649164321887,0.988715590669677,0.983238391339355,0.950346601098492,-0.901765643475998,0.784749311240191
"Serasa_Dividas_Negativadas_R_bilhoes",0.580980295043332,0.207987188963528,0.713359407990598,0.713359407990598,0.676923005696614,0.0665007855096727,0.231432685700215,0.51041266146529,0.728554446930467,NA,NA,0.981767843945109,0.979970906193546,1,0.603146581667348,0.997589783896137,0.97222697988075,0.986119546849338,0.986270007690621,0.989290126889017,0.806058641468236,0.971108021237971,0.992017602336172,0.972888984814317,-0.899810796062637,0.794160259660884
"Serasa_Dividas_Media_por_CPF",0.654923849992906,0.788037481556043,0.828216906448248,0.828216906448248,0.827182764762858,0.550106001255028,0.75085978909876,0.802247824841067,0.583231663611536,NA,NA,0.478693898562898,0.736016179076683,0.603146581667348,1,0.623643609760867,0.418337014720294,0.666969695100744,0.901673306483608,0.933679650931037,0.84497875055059,0.95096522487661,0.906630117087058,0.851921219499415,-0.555993179663411,0.534536922996869
