"","Selic_Meta","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Itau_NPL90_Total_pct","Itau_NPL90_Brasil_pct","Itau_NPL90_PF_Brasil_pct","Itau_NPL90_MPME_Brasil_pct","Itau_NPL90_Grandes_Empresas_Brasil_pct"
"Selic_Meta",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_PF_Total_modalidades",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_Recursos_Livres_Total",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_Cheque_Especial",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_Credito_Pessoal_Nao_Consignado",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_Composicao_Dividas",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_Consignado_Privado",34,34,34,34,34,34,34,3,3,29,29,29,29,29
"Inadimplencia_Nao_Consignado_Com_Garantia",3,3,3,3,3,3,3,3,3,1,1,1,1,1
"Inadimplencia_Nao_Consignado_Sem_Garantia",3,3,3,3,3,3,3,3,3,1,1,1,1,1
"Itau_NPL90_Total_pct",29,29,29,29,29,29,29,1,1,29,29,29,29,29
"Itau_NPL90_Brasil_pct",29,29,29,29,29,29,29,1,1,29,29,29,29,29
"Itau_NPL90_PF_Brasil_pct",29,29,29,29,29,29,29,1,1,29,29,29,29,29
"Itau_NPL90_MPME_Brasil_pct",29,29,29,29,29,29,29,1,1,29,29,29,29,29
"Itau_NPL90_Grandes_Empresas_Brasil_pct",29,29,29,29,29,29,29,1,1,29,29,29,29,29
