"","Selic_Meta","Taxa_Media_Juros_Credito","Inadimplencia_PF_Total","Inadimplencia_PF_Total_modalidades","Inadimplencia_Recursos_Livres_Total","Inadimplencia_Cheque_Especial","Inadimplencia_Credito_Pessoal_Nao_Consignado","Inadimplencia_Composicao_Dividas","Inadimplencia_Consignado_Privado","Inadimplencia_Nao_Consignado_Com_Garantia","Inadimplencia_Nao_Consignado_Sem_Garantia","Serasa_Inadimplentes_milhoes","Serasa_Dividas_Negativadas_milhoes","Serasa_Dividas_Negativadas_R_bilhoes","Serasa_Dividas_Media_por_CPF","Serasa_Divida_Media_R","Serasa_Ticket_Medio_R","Serasa_Populacao_Adulta_pct","Serasa_Genero_F_milhoes","Serasa_Genero_M_milhoes","Serasa_Ate_25_milhoes","Serasa_26_40_milhoes","Serasa_41_60_milhoes","Serasa_Acima_60_milhoes","PNAD_Taxa_Desocupacao_pct","PNAD_Rendimento_Medio_R"
"Selic_Meta",193,184,184,184,184,184,184,184,184,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,172,172
"Taxa_Media_Juros_Credito",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_PF_Total",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_PF_Total_modalidades",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_Recursos_Livres_Total",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_Cheque_Especial",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_Credito_Pessoal_Nao_Consignado",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_Composicao_Dividas",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_Consignado_Privado",184,184,184,184,184,184,184,184,184,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"Inadimplencia_Nao_Consignado_Com_Garantia",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Inadimplencia_Nao_Consignado_Sem_Garantia",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Serasa_Inadimplentes_milhoes",125,124,124,124,124,124,124,124,124,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,124,124
"Serasa_Dividas_Negativadas_milhoes",125,124,124,124,124,124,124,124,124,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,124,124
"Serasa_Dividas_Negativadas_R_bilhoes",125,124,124,124,124,124,124,124,124,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,124,124
"Serasa_Dividas_Media_por_CPF",125,124,124,124,124,124,124,124,124,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,124,124
"Serasa_Divida_Media_R",125,124,124,124,124,124,124,124,124,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,124,124
"Serasa_Ticket_Medio_R",125,124,124,124,124,124,124,124,124,8,8,125,125,125,125,125,125,117,91,91,91,91,91,91,124,124
"Serasa_Populacao_Adulta_pct",117,116,116,116,116,116,116,116,116,8,8,117,117,117,117,117,117,117,91,91,91,91,91,91,116,116
"Serasa_Genero_F_milhoes",91,90,90,90,90,90,90,90,90,8,8,91,91,91,91,91,91,91,91,91,91,91,91,91,90,90
"Serasa_Genero_M_milhoes",91,90,90,90,90,90,90,90,90,8,8,91,91,91,91,91,91,91,91,91,91,91,91,91,90,90
"Serasa_Ate_25_milhoes",91,90,90,90,90,90,90,90,90,8,8,91,91,91,91,91,91,91,91,91,91,91,91,91,90,90
"Serasa_26_40_milhoes",91,90,90,90,90,90,90,90,90,8,8,91,91,91,91,91,91,91,91,91,91,91,91,91,90,90
"Serasa_41_60_milhoes",91,90,90,90,90,90,90,90,90,8,8,91,91,91,91,91,91,91,91,91,91,91,91,91,90,90
"Serasa_Acima_60_milhoes",91,90,90,90,90,90,90,90,90,8,8,91,91,91,91,91,91,91,91,91,91,91,91,91,90,90
"PNAD_Taxa_Desocupacao_pct",172,172,172,172,172,172,172,172,172,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
"PNAD_Rendimento_Medio_R",172,172,172,172,172,172,172,172,172,8,8,124,124,124,124,124,124,116,90,90,90,90,90,90,172,172
