Data,Serasa_Inadimplentes_milhoes,Serasa_Dividas_Negativadas_milhoes,Serasa_Dividas_Negativadas_R_bilhoes,Serasa_Dividas_Media_por_CPF,Serasa_Divida_Media_R,Serasa_Ticket_Medio_R,Serasa_Populacao_Adulta_pct,Serasa_Genero_F_milhoes,Serasa_Genero_M_milhoes,Serasa_Ate_25_milhoes,Serasa_26_40_milhoes,Serasa_41_60_milhoes,Serasa_Acima_60_milhoes
2016-01-01,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,
2016-03-01,59.19091350239617,231.328,214.5540761959106,3.908167424897664,3624.7806208840652,927.4885711885746,,,,,,,
2016-04-01,59.735,233.427,224.5735272836054,3.9077090482966432,3759.496564553535,962.07177097596,,,,,,,
2016-05-01,58.889,228.928,225.06922900790957,3.887449268963643,3821.9230927322515,983.1441720012824,,,,,,,
2016-06-01,59.072,229.393,224.76834719818464,3.883278033586132,3804.98962618812,979.839608001049,,,,,,,
2016-07-01,58.746,227.049,224.6624305087791,3.8649269737514045,3824.3017483535746,989.4887469611365,,,,,,,
2016-08-01,58.631,226.204,225.86955389590682,3.8580955467244293,3852.3912929321828,998.5214845710367,,,,,,,
2016-09-01,58.921,225.679,227.69140312588806,3.8301963646238186,3864.3506241558707,1008.9171040543783,,,,,,,
2016-10-01,58.661,218.711,227.868761084437,3.7283885375291934,3884.501816955678,1041.8715157648085,,,,,,,
2016-11-01,59.344,228.652,229.54093373708992,3.8529927204098136,3867.972056772208,1003.8877146803436,39.74625514915066,,,,,,
2016-12-01,58.976,229.45,228.34040853691366,3.8905656538252846,3871.7513655879284,995.1641252425961,39.45747972507016,,,,,,
2017-01-01,59.022,227.612,229.12089466731214,3.856392531598387,3881.9574847906233,1006.6292404060953,39.44595983367789,,,,,,
2017-02-01,59.119,227.323,229.34030587236444,3.845176677548673,3879.2994785494416,1008.8741828691528,39.46846270614818,,,,,,
2017-03-01,59.12,225.86,230.5824483841427,3.820365358592693,3900.2443908007904,1020.9087416281887,39.42684649069956,,,,,,
2017-04-01,59.426,225.852,228.59266996778427,3.800558678019722,3846.677716282171,1012.1348049509603,39.588455402578404,,,,,,
