Data;20740 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.a.
03/2011;47,59
04/2011;48,73
05/2011;48,46
06/2011;48,29
07/2011;48,62
08/2011;47,92
09/2011;48,42
10/2011;49,57
11/2011;48,22
12/2011;45,84
01/2012;47,59
02/2012;48,39
03/2012;48,19
04/2012;47,38
05/2012;44,65
06/2012;43,87
07/2012;42,71
08/2012;41,77
09/2012;41,82
10/2012;40,94
11/2012;40,42
12/2012;38,90
01/2013;39,20
02/2013;40,37
03/2013;39,79
04/2013;39,59
05/2013;39,31
06/2013;39,99
07/2013;40,90
08/2013;41,36
09/2013;41,80
10/2013;42,79
11/2013;43,14
12/2013;42,51
01/2014;44,16
02/2014;46,48
03/2014;46,75
04/2014;46,67
05/2014;47,13
06/2014;47,92
07/2014;48,02
08/2014;48,40
09/2014;47,47
10/2014;49,11
11/2014;49,71
12/2014;48,47
01/2015;50,99
02/2015;53,11
03/2015;53,13
04/2015;54,79
05/2015;56,28
06/2015;57,53
07/2015;58,77
08/2015;60,13
09/2015;61,30
10/2015;63,37
11/2015;64,01
12/2015;62,73
01/2016;65,80
02/2016;67,33
03/2016;68,57
04/2016;70,42
05/2016;70,70
06/2016;70,18
07/2016;70,75
08/2016;71,15
09/2016;72,61
10/2016;72,87
11/2016;72,93
12/2016;70,99
01/2017;71,79
02/2017;72,00
03/2017;71,23
04/2017;66,58
05/2017;62,14
06/2017;62,22
07/2017;63,65
08/2017;62,31
09/2017;58,55
10/2017;58,85
11/2017;57,81
12/2017;54,49
01/2018;55,08
02/2018;56,94
03/2018;56,54
04/2018;56,30
05/2018;53,09
06/2018;52,25
07/2018;51,24
08/2018;50,91
09/2018;51,11
10/2018;51,19
11/2018;50,85
12/2018;48,09
01/2019;50,33
02/2019;51,95
03/2019;52,65
04/2019;52,45
05/2019;51,80
06/2019;52,08
07/2019;51,13
08/2019;50,84
09/2019;49,87
10/2019;48,48
11/2019;48,97
12/2019;46,12
01/2020;45,72
02/2020;46,86
03/2020;46,38
04/2020;43,99
05/2020;42,86
06/2020;40,15
07/2020;39,09
08/2020;38,29
09/2020;37,45
10/2020;38,37
11/2020;37,30
12/2020;36,22
01/2021;38,50
02/2021;39,23
03/2021;39,90
04/2021;40,40
05/2021;39,03
06/2021;39,06
07/2021;38,81
08/2021;39,61
09/2021;40,36
10/2021;42,33
11/2021;43,53
12/2021;44,21
01/2022;45,51
02/2022;47,28
03/2022;48,70
04/2022;49,06
05/2022;49,56
06/2022;50,65
07/2022;52,44
08/2022;53,10
09/2022;52,77
10/2022;55,54
11/2022;56,23
12/2022;54,53
01/2023;55,35
02/2023;56,98
03/2023;57,39
04/2023;59,25
05/2023;58,60
06/2023;57,79
07/2023;56,97
08/2023;56,52
09/2023;56,06
10/2023;55,13
11/2023;54,76
12/2023;53,94
01/2024;52,25
02/2024;52,66
03/2024;53,36
04/2024;52,82
05/2024;52,62
06/2024;52,61
07/2024;52,19
08/2024;51,79
09/2024;52,26
10/2024;52,39
11/2024;53,16
12/2024;53,11
01/2025;54,22
02/2025;56,82
03/2025;57,08
04/2025;58,31
05/2025;58,98
06/2025;59,40
07/2025;58,44
08/2025;58,79
09/2025;58,66
10/2025;59,16
11/2025;61,08
12/2025;60,50
01/2026;61,23
02/2026;62,12
03/2026;61,72
04/2026;62,99
05/2026;62,76
06/2026;63,95
Fonte;BCB-DSTAT
