Data;20740 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.a.;20742 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado total - % a.a.;20748 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.a.;22024 - Taxa média de juros das operações de crédito com recursos livres - Pessoas físicas - Cartão de crédito total - % a.a.
08/2010;-;-;41,96 ;-
09/2010;-;-;41,63 ;-
10/2010;-;-;43,55 ;-
11/2010;-;-;41,99 ;-
12/2010;-;-;44,11 ;-
01/2011;-;-;48,32 ;-
02/2011;-;-;47,96 ;-
03/2011;47,59 ;73,87 ;42,86 ;76,73
04/2011;48,73 ;76,72 ;44,18 ;79,69
05/2011;48,46 ;77,27 ;44,37 ;76,26
06/2011;48,29 ;77,56 ;44,31 ;75,75
07/2011;48,62 ;80,27 ;44,79 ;75,95
08/2011;47,92 ;78,68 ;44,28 ;73,96
09/2011;48,42 ;78,80 ;44,38 ;80,17
10/2011;49,57 ;80,89 ;45,06 ;84,29
11/2011;48,22 ;76,26 ;43,39 ;79,91
12/2011;45,84 ;72,87 ;42,36 ;71,50
01/2012;47,59 ;80,24 ;44,80 ;75,06
02/2012;48,39 ;81,34 ;45,22 ;77,87
03/2012;48,19 ;77,25 ;43,86 ;80,13
04/2012;47,38 ;72,22 ;41,40 ;83,01
05/2012;44,65 ;67,62 ;39,30 ;77,89
06/2012;43,87 ;66,41 ;38,24 ;81,42
07/2012;42,71 ;68,77 ;38,59 ;75,29
08/2012;41,77 ;68,29 ;38,03 ;72,27
09/2012;41,82 ;66,92 ;37,76 ;72,16
10/2012;40,94 ;67,93 ;37,81 ;67,37
11/2012;40,42 ;66,30 ;37,12 ;65,30
12/2012;38,90 ;66,42 ;36,89 ;59,24
01/2013;39,20 ;68,21 ;37,38 ;57,90
02/2013;40,37 ;69,92 ;37,96 ;62,62
03/2013;39,79 ;68,09 ;37,25 ;62,42
04/2013;39,59 ;67,84 ;36,90 ;61,68
05/2013;39,31 ;68,13 ;36,78 ;60,94
06/2013;39,99 ;72,78 ;38,07 ;62,13
07/2013;40,90 ;79,13 ;39,80 ;60,76
08/2013;41,36 ;79,11 ;39,77 ;61,34
09/2013;41,80 ;81,93 ;40,41 ;60,99
10/2013;42,79 ;87,79 ;42,29 ;61,08
11/2013;43,14 ;86,30 ;41,78 ;62,73
12/2013;42,51 ;86,03 ;41,37 ;59,88
01/2014;44,16 ;91,17 ;43,04 ;60,52
02/2014;46,48 ;95,26 ;44,20 ;67,24
03/2014;46,75 ;94,09 ;43,95 ;67,37
04/2014;46,67 ;99,10 ;45,29 ;65,20
05/2014;47,13 ;97,43 ;45,00 ;65,24
06/2014;47,92 ;100,19 ;45,67 ;67,13
07/2014;48,02 ;101,29 ;45,93 ;66,34
08/2014;48,40 ;100,17 ;45,52 ;68,44
09/2014;47,47 ;96,18 ;44,49 ;65,63
10/2014;49,11 ;103,40 ;46,08 ;68,54
11/2014;49,71 ;103,58 ;46,01 ;71,49
12/2014;48,47 ;101,94 ;45,41 ;66,32
01/2015;50,99 ;107,47 ;47,10 ;69,43
02/2015;53,11 ;108,06 ;47,47 ;76,71
03/2015;53,13 ;104,56 ;46,53 ;76,97
04/2015;54,79 ;113,11 ;48,85 ;78,93
05/2015;56,28 ;112,01 ;48,82 ;83,72
06/2015;57,53 ;112,56 ;49,05 ;87,69
07/2015;58,77 ;115,80 ;49,95 ;90,87
08/2015;60,13 ;119,85 ;50,94 ;93,18
09/2015;61,30 ;118,17 ;50,21 ;97,98
10/2015;63,37 ;129,19 ;53,33 ;96,26
11/2015;64,01 ;120,39 ;51,39 ;100,55
12/2015;62,73 ;117,71 ;50,79 ;97,08
01/2016;65,80 ;118,49 ;51,31 ;106,16
02/2016;67,33 ;122,84 ;52,41 ;109,96
03/2016;68,57 ;126,20 ;53,44 ;111,89
04/2016;70,42 ;130,70 ;54,41 ;117,44
05/2016;70,70 ;129,76 ;54,24 ;117,99
06/2016;70,18 ;128,18 ;53,40 ;117,36
07/2016;70,75 ;132,08 ;53,80 ;118,47
08/2016;71,15 ;132,16 ;53,70 ;118,52
09/2016;72,61 ;134,98 ;54,18 ;123,07
10/2016;72,87 ;136,16 ;54,61 ;121,03
11/2016;72,93 ;137,82 ;54,50 ;120,15
12/2016;70,99 ;139,79 ;54,22 ;114,63
01/2017;71,79 ;140,88 ;54,17 ;116,92
02/2017;72,00 ;141,86 ;54,14 ;120,30
03/2017;71,23 ;135,03 ;52,43 ;118,76
04/2017;66,58 ;129,16 ;50,21 ;106,08
05/2017;62,14 ;132,64 ;50,43 ;86,89
06/2017;62,22 ;124,97 ;48,63 ;91,92
07/2017;63,65 ;133,15 ;50,57 ;93,46
08/2017;62,31 ;130,44 ;49,41 ;92,46
09/2017;58,55 ;127,31 ;48,46 ;79,14
10/2017;58,85 ;132,11 ;49,13 ;78,91
