date;period;year;quarter;credit_pf;credit_card_pf;personal_credit_pf;payroll_credit_pf;vehicle_credit_pf;mortgage_credit_pf;npl90_balance_pf;npl90_pf_rate;npl90_pf_rate_calc;npl15_90_balance_pf;npl15_90_pf_rate;share_cartao_pf;share_credito_pessoal_pf;share_consignado_pf;share_veiculos_pf;share_imobiliario_pf;risk_total_credit;risk_high_share;risk_BH_share;early_delinquency_1_30;severe_delinquency_91_plus;overdue_share;severe_overdue_share;pdd_balance_total;pdd_net_formation;pdd_writeoffs;pdd_to_credit_rate;renegotiated_credit_brazil;renegotiated_overdue_upto30;renegotiated_overdue_above30;reneg_to_credit_rate;npl90_rate_gap
30/06/2016;2016Q2;2016;2;18.262.608.634.684.000;5.445.479.713.857;2.870.258.134.192;4.648.856.122.713;1.669.992.791.397;3.628.021.872.525;11.047.711;0.0593;0.06049360866781318;7.850.265;0.0421;0.29817644471201377;0.15716583493668368;0.25455597366763805;0.09144327761727211;0.19865846906639226;419.229.417;0.0899861423608067;0.24048855331161076;19.964.450.000.000.000;13.357.858.999.999.900;0.03328443602826055;0.026825240359592547;-38.469.518;-6.123.004;5.647.397;0.09176244900772312;22.666.861;7.811.328;16.281.302;0.054067916231174205;-0.0011936086678131785
30/09/2016;2016Q3;2016;3;18.251.670.872.859.000;5.574.971.490.124;2.787.850.722.188;45.638.290.686.370.000;15.905.364.355.610.000;3.734.483.156.349;10.682.765;0.0573;0.05853033990376036;7.815.409;0.0419;0.30544992450056807;0.15274495916610303;0.25004993243789014;0.08714470289545898;0.20461048099997972;415.295.777;0.09208682610803431;0.24346288982370265;18.333.629.999.999.900;13.223.166;0.03253403551039073;0.026695815016261337;-39.102.884;-6.120.595;5.535.062;0.09415670990557652;23.805.914;7.723.703;17.616.499;0.05732279334013069;-0.0012303399037603621
31/12/2016;2016Q4;2016;4;18.342.724.773.075;5.902.254.350.818;2.627.633.799.303;4.463.811.765.079;15.372.873.670.969.900;3.811.737.490.778;10.421.634;0.0558;0.05681617169166575;6.698.644;0.0358;0.32177631316159894;0.14325209759239602;0.2433559801121456;0.08380910612329309;0.20780650301056636;410.916.148;0.09395193688031944;0.2368183666512906;16.479.930.000.000.000;12.198.446;0.02778997941710932;0.024832707152836815;-37.431.102;-5.888.068;7.579.285;0.0910918253813671;22.853.857;7.944.026;16.397.691;0.05561683840178508;-0.0010161716916657487
31/03/2017;2017Q1;2017;1;1.804.555.045.829;5.621.549.447.858.990;26.277.338.674.029.900;4.485.008.436.318;1.477.870.398.394;38.333.883.083.160.000;9.700.645;0.0528;0.053756437202743194;7.333.045;0.0399;0.3115199761211218;0.14561671994859193;0.2485381893273097;0.08189666487646968;0.2124284497265069;401.924.779;0.09979036898344604;0.24816896397422664;1886.53;13.192.956;0.02986821605825697;0.02759482609905562;-37.640.024;-5.366.143;5.457.502;0.09364942388884165;23.070.141;8.486.722;16218.28;0.05739915079980675;-0.0009564372027431947
30/06/2017;2017Q2;2017;2;17.938.219.536.512.900;5.637.555.242.158.990;25.869.369.865.009.900;44.784.610.514.839.900;1.410.154.834.324;3.825.111.422.045;9.501.403;0.0519;0.052967369368292244;6.832.596;0.0373;0.3142761872594899;0.14421369864692118;0.24966028776535787;0.07861175026059021;0.21323807606764086;404.484.689;0.09852700258822406;0.24809291359851693;1.712.912;12.169.607;0.026229619646533874;0.025359957566940528;-37.417.334;-5.119.504;5.361.447;0.09250618136500094;24.571.499;8.499.416;17.886.215;0.060747661575887235;-0.0010673693682922425
30/09/2017;2017Q3;2017;3;17.988.776.701.151;57.172.966.563.129.900;2.595.684.276.884;4.457.554.910.952;13.886.912.554.879.900;3.829.549.601.514;9.368.569;0.0512;0.052080078349077276;6.437.519;0.0352;0.3178257616565546;0.14429465216041715;0.247796444694696;0.07719764820912726;0.21288549327920497;392.432.247;0.09690990047512585;0.2487744464078152;1.716.185;11.742.709;0.02598560666405507;0.0251003253423072;-36.629.564;-4058.66;4.726.413;0.09333984217662929;24.520.528;9.089.917;17.330.267;0.06248346864318721;-0.0008800783490772734
31/12/2017;2017Q4;2017;4;19.152.598.459.597.000;6.694.075.154.912;2.635.203.781.147;4.442.628.599.329;1.407.990.294.939;39.727.006.292.699.900;9.494.594;0.0488;0.04957339872200182;6.314.234;0.0325;0.3495126350105109;0.1375898829971319;0.23195957502585682;0.07351432224244658;0.20742358472405373;407.640.462;0.09392095625679081;0.23086870606088164;15.961.689.999.999.900;11.612.239;0.027695477321607407;0.023525833958049008;-37.309.465;-4.205.249;4.411.712;0.09152542124240845;24.422.767;9.147.755;17253.73;0.05991251918461421;-0.000773398722001814
31/03/2018;2018Q1;2018;1;191.355.521;64.982.763;27.380.723;44.682.409;14.316.403;39.993.221;8.909.307;0.0458;0.046558923167939324;6.869.375;0.0353;0.33959178528222345;0.14308823104194626;0.2335046763557974;0.07481573003582165;0.20899956683246154;411.146.766;0.092648983647849;0.23012830411026514;18.907.060.000.000.000;11.660.522;0.02719440872296045;0.023533608922161314;-36660.82;-3.910.831;4.717.279;0.08916723426203478;25.537.915;9.603.347;17.981.851;0.062113865684644595;-0.0007589231679393238
30/06/2018;2018Q2;2018;2;195.002.644;66.095.405;28.347.445;45.404.398;14.652.989;40.502.404;8.934.954;0.0449;0.045819655655540754;6.930.288;0.0348;0.33894619910897206;0.14536954175862354;0.2328399095963027;0.07514251447790625;0.20770181967378865;432.496.214;0.08629758779807492;0.24104184181367194;17.599.650.000.000.000;11.330.899;0.02457531538984214;0.021852818713964946;-36.118.342;-3.634.744;4.776.171;0.08351134837910974;25.191.589;9.946.872;17.510.629;0.058246958434646556;-0.000919655655540752
30/09/2018;2018Q3;2018;3;199.975.197;68.659.339;28.896.031;45.955.002;15.227.917;41.236.907;9.217.844;0.0451;0.046094936463545524;6.621.246;0.0324;0.34333927422009247;0.1444980749287623;0.22980350908217884;0.07614902862178453;0.2062101081465618;442.391.691;0.08551907228293762;0.2360621754986804;1.781.932;11.769.354;0.024729692095306455;0.02218456612153268;-35.496.307;-3.704.335;4.422.907;0.08023728230465342;25.651.117;9.928.507;17.923.722;0.057982818217080845;-0.0009949364635455232
