Data;20539 - Saldo da carteira de crédito - Total - R$ (milhões)
06/1988;0
07/1988;0
08/1988;0
09/1988;0
10/1988;0
11/1988;0
12/1988;0
01/1989;0
02/1989;0
03/1989;0
04/1989;0
05/1989;0
06/1989;0
07/1989;0
08/1989;0
09/1989;0
10/1989;0
11/1989;0
12/1989;0
01/1990;1
02/1990;1
03/1990;2
04/1990;2
05/1990;2
06/1990;3
07/1990;3
08/1990;3
09/1990;4
10/1990;4
11/1990;5
12/1990;6
01/1991;7
02/1991;8
03/1991;9
04/1991;10
05/1991;11
06/1991;12
07/1991;13
08/1991;15
09/1991;18
10/1991;22
11/1991;28
12/1991;35
01/1992;45
02/1992;56
03/1992;69
04/1992;84
05/1992;103
06/1992;131
07/1992;162
08/1992;202
09/1992;255
10/1992;322
11/1992;409
12/1992;523
01/1993;659
02/1993;843
03/1993;1.067
04/1993;1.386
05/1993;1.838
06/1993;2.411
07/1993;3.215
08/1993;4.348
09/1993;5.907
10/1993;8.288
11/1993;11.427
12/1993;15.789
01/1994;22.015
02/1994;31.619
03/1994;45.129
04/1994;63.896
05/1994;94.895
06/1994;140.753
07/1994;151.410
08/1994;161.528
09/1994;170.178
10/1994;177.727
11/1994;183.928
12/1994;186.856
01/1995;193.123
02/1995;200.569
03/1995;207.983
04/1995;215.147
05/1995;221.882
06/1995;226.148
07/1995;223.165
08/1995;224.534
09/1995;229.352
10/1995;233.029
11/1995;237.909
12/1995;238.644
01/1996;237.355
02/1996;240.545
03/1996;244.550
04/1996;245.389
05/1996;246.296
06/1996;247.998
07/1996;248.124
08/1996;247.309
09/1996;248.882
10/1996;252.646
11/1996;251.760
12/1996;252.507
01/1997;254.729
02/1997;257.380
03/1997;259.971
04/1997;263.138
05/1997;267.567
06/1997;272.685
07/1997;276.711
08/1997;281.114
09/1997;285.783
10/1997;290.084
11/1997;292.603
12/1997;259.689
01/1998;259.247
02/1998;264.561
03/1998;264.251
04/1998;266.188
05/1998;268.014
06/1998;267.094
07/1998;266.781
08/1998;268.189
09/1998;271.290
10/1998;271.372
11/1998;278.754
12/1998;276.888
01/1999;285.572
02/1999;288.519
03/1999;281.128
04/1999;278.607
05/1999;280.168
06/1999;280.154
07/1999;282.091
08/1999;284.365
09/1999;287.791
10/1999;292.800
11/1999;295.824
12/1999;288.505
01/2000;289.197
02/2000;287.573
03/2000;286.084
04/2000;291.609
05/2000;312.232
06/2000;307.011
07/2000;309.905
08/2000;310.257
09/2000;308.673
10/2000;312.895
11/2000;320.782
12/2000;326.826
01/2001;326.686
02/2001;335.278
03/2001;343.913
04/2001;349.563
05/2001;355.931
06/2001;319.496
07/2001;324.558
08/2001;332.145
09/2001;340.660
10/2001;343.567
11/2001;345.008
12/2001;336.376
01/2002;337.735
02/2002;340.040
03/2002;341.234
04/2002;344.649
05/2002;349.678
