Data;29034 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional - Com ajuste sazonal (RNDBF) - %;29035 - Comprometimento de renda das famílias com o serviço da dívida com o Sistema Financeiro Nacional exceto crédito habitacional - Com ajuste sazonal (RNDBF) - %;29264 - Comprometimento de renda das famílias com juros da dívida com o Sistema Financeiro Nacional - Sem ajuste sazonal (RNDBF) - %
08/2010;23,13 ;22,43 ;6,99
09/2010;23,23 ;22,54 ;7,04
10/2010;23,18 ;22,49 ;7,12
11/2010;23,54 ;22,82 ;7,21
12/2010;23,96 ;23,17 ;7,12
01/2011;24,19 ;23,40 ;7,17
02/2011;23,96 ;23,16 ;7,25
03/2011;23,92 ;23,03 ;7,57
04/2011;23,84 ;22,82 ;7,71
05/2011;23,77 ;22,68 ;7,77
06/2011;23,58 ;22,45 ;7,60
07/2011;23,49 ;22,38 ;7,37
08/2011;23,70 ;22,46 ;7,34
09/2011;24,20 ;22,99 ;7,51
10/2011;24,67 ;23,44 ;7,81
11/2011;24,62 ;23,35 ;7,77
12/2011;24,58 ;23,27 ;7,57
01/2012;24,54 ;23,20 ;7,52
02/2012;24,49 ;23,15 ;7,61
03/2012;24,54 ;23,22 ;7,92
04/2012;24,47 ;23,12 ;8,00
05/2012;24,53 ;23,19 ;8,03
06/2012;24,38 ;23,05 ;7,82
07/2012;24,09 ;22,78 ;7,50
08/2012;23,80 ;22,36 ;7,29
09/2012;23,59 ;22,22 ;7,18
10/2012;23,44 ;22,07 ;7,17
11/2012;23,46 ;22,04 ;7,05
12/2012;23,47 ;22,02 ;6,83
01/2013;23,15 ;21,73 ;6,76
02/2013;23,09 ;21,61 ;6,81
03/2013;22,89 ;21,40 ;6,97
04/2013;22,75 ;21,26 ;7,01
05/2013;22,33 ;20,90 ;6,90
06/2013;22,21 ;20,76 ;6,73
07/2013;22,18 ;20,72 ;6,56
08/2013;22,24 ;20,76 ;6,51
09/2013;22,31 ;20,80 ;6,51
10/2013;22,30 ;20,76 ;6,57
11/2013;22,44 ;20,87 ;6,54
12/2013;22,68 ;21,05 ;6,44
01/2014;22,59 ;20,97 ;6,46
02/2014;22,58 ;20,92 ;6,62
03/2014;22,48 ;20,85 ;6,96
04/2014;22,60 ;20,94 ;7,14
05/2014;22,71 ;21,03 ;7,21
06/2014;22,78 ;21,08 ;7,19
07/2014;22,83 ;21,11 ;7,08
08/2014;22,67 ;20,95 ;6,99
09/2014;22,70 ;20,92 ;6,94
10/2014;22,72 ;20,93 ;7,04
11/2014;23,11 ;21,27 ;7,06
12/2014;23,48 ;21,57 ;7,03
01/2015;23,92 ;21,96 ;7,24
02/2015;24,08 ;22,07 ;7,55
03/2015;24,02 ;22,02 ;7,96
04/2015;24,18 ;22,15 ;8,20
05/2015;24,18 ;22,14 ;8,27
