Data;25462 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Total - % a.m.;25470 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Crédito pessoal total - % a.m.;25479 - Taxa média mensal de juros das operações de crédito com recursos livres - Pessoas físicas - Cartão de crédito total - % a.m.
08/2010;-;2,96 ;-
09/2010;-;2,94 ;-
10/2010;-;3,06 ;-
11/2010;-;2,96 ;-
12/2010;-;3,09 ;-
01/2011;-;3,34 ;-
02/2011;-;3,32 ;-
03/2011;3,30 ;3,02 ;4,86
04/2011;3,36 ;3,10 ;5,01
05/2011;3,35 ;3,11 ;4,84
06/2011;3,34 ;3,10 ;4,81
07/2011;3,36 ;3,13 ;4,82
08/2011;3,32 ;3,10 ;4,72
09/2011;3,35 ;3,11 ;5,03
10/2011;3,41 ;3,15 ;5,23
11/2011;3,33 ;3,05 ;5,02
12/2011;3,19 ;2,99 ;4,60
01/2012;3,30 ;3,13 ;4,78
02/2012;3,34 ;3,16 ;4,92
03/2012;3,33 ;3,08 ;5,03
04/2012;3,28 ;2,93 ;5,17
05/2012;3,12 ;2,80 ;4,92
06/2012;3,08 ;2,74 ;5,09
07/2012;3,01 ;2,76 ;4,79
08/2012;2,95 ;2,72 ;4,64
09/2012;2,95 ;2,71 ;4,63
10/2012;2,90 ;2,71 ;4,39
11/2012;2,87 ;2,67 ;4,28
12/2012;2,78 ;2,65 ;3,95
01/2013;2,79 ;2,68 ;3,88
02/2013;2,87 ;2,72 ;4,14
03/2013;2,83 ;2,67 ;4,12
04/2013;2,82 ;2,65 ;4,08
05/2013;2,80 ;2,64 ;4,05
06/2013;2,84 ;2,72 ;4,11
07/2013;2,90 ;2,83 ;4,04
08/2013;2,93 ;2,83 ;4,07
09/2013;2,95 ;2,87 ;4,05
10/2013;3,01 ;2,98 ;4,05
11/2013;3,03 ;2,95 ;4,14
12/2013;3,00 ;2,93 ;3,99
01/2014;3,09 ;3,03 ;4,02
02/2014;3,23 ;3,10 ;4,38
03/2014;3,25 ;3,08 ;4,39
04/2014;3,24 ;3,16 ;4,27
05/2014;3,27 ;3,14 ;4,27
06/2014;3,32 ;3,18 ;4,37
07/2014;3,32 ;3,20 ;4,33
08/2014;3,34 ;3,18 ;4,44
09/2014;3,29 ;3,11 ;4,29
10/2014;3,39 ;3,21 ;4,45
11/2014;3,42 ;3,20 ;4,60
12/2014;3,35 ;3,17 ;4,33
01/2015;3,49 ;3,27 ;4,49
